quiri,select_count,insert_count,update_count,delete_count,create_count,drop_count,alter_count,join_count,where_count,group_by_count,order_by_count,having_count,limit_count,between_count,in_count,like_count,from_count,on_count,as_count,desc_count,count_count,sum_count,avg_count,distinct_count,target
"SELECT p.product_id, p.name, c.name AS category_name, SUM(CASE WHEN EXTRACT(MONTH FROM o.order_date) = 1 THEN oi.quantity ELSE 0 END) AS Jan_Sales, SUM(CASE WHEN EXTRACT(MONTH FROM o.order_date) = 2 THEN oi.quantity ELSE 0 END) AS Feb_Sales, SUM(CASE WHEN EXTRACT(MONTH FROM o.order_date) = 3 THEN oi.quantity ELSE 0 END) AS Mar_Sales, SUM(CASE WHEN EXTRACT(MONTH FROM o.order_date) = 4 THEN oi.quantity ELSE 0 END) AS Apr_Sales, SUM(CASE WHEN EXTRACT(MONTH FROM o.order_date) = 5 THEN oi.quantity ELSE 0 END) AS May_Sales, SUM(CASE WHEN EXTRACT(MONTH FROM o.order_date) = 6 THEN oi.quantity ELSE 0 END) AS Jun_Sales, SUM(CASE WHEN EXTRACT(MONTH FROM o.order_date) = 7 THEN oi.quantity ELSE 0 END) AS Jul_Sales, SUM(CASE WHEN EXTRACT(MONTH FROM o.order_date) = 8 THEN oi.quantity ELSE 0 END) AS Aug_Sales, SUM(CASE WHEN EXTRACT(MONTH FROM o.order_date) = 9 THEN oi.quantity ELSE 0 END) AS Sep_Sales, SUM(CASE WHEN EXTRACT(MONTH FROM o.order_date) = 10 THEN oi.quantity ELSE 0 END) AS Oct_Sales, SUM(CASE WHEN EXTRACT(MONTH FROM o.order_date) = 11 THEN oi.quantity ELSE 0 END) AS Nov_Sales, SUM(CASE WHEN EXTRACT(MONTH FROM o.order_date) = 12 THEN oi.quantity ELSE 0 END) AS Dec_Sales, SUM(oi.quantity) AS Total_Sales, SUM(oi.quantity * oi.price) AS Total_Revenue FROM Products p JOIN Categories c ON p.category_id = c.category_id LEFT JOIN OrderItems oi ON p.product_id = oi.product_id LEFT JOIN Orders o ON oi.order_id = o.order_id AND EXTRACT(YEAR FROM o.order_date) = EXTRACT(YEAR FROM CURRENT_DATE) GROUP BY p.product_id, p.name, c.name ORDER BY Total_Revenue DESC;",1,0,0,0,0,0,0,3,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,gist
"SELECT p1.product_id, p1.name, p1.price as current_price, COUNT(DISTINCT o.order_id) as total_orders, MIN(oi.price) as min_sold_price, MAX(oi.price) as max_sold_price FROM products p1 LEFT JOIN orderitems oi ON p1.product_id = oi.product_id LEFT JOIN orders o ON oi.order_id = o.order_id GROUP BY p1.product_id, p1.name, p1.price HAVING p1.price > AVG(oi.price) ORDER BY p1.price DESC;",1,0,0,0,0,0,0,2,0,1,1,1,0,0,6,0,1,0,0,0,0,0,0,0,hash
"SELECT p.product_id, p.name, SUM(oi.quantity) as total_sold, SUM(oi.quantity * oi.price) as total_revenue, RANK() OVER (ORDER BY SUM(oi.quantity * oi.price) DESC) as revenue_rank FROM products p JOIN orderitems oi ON p.product_id = oi.product_id GROUP BY p.product_id, p.name ORDER BY total_revenue DESC;",1,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,btree
"SELECT product_id, name, description, price FROM products WHERE name ILIKE '%wireless%' OR description ILIKE '%wireless%';",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,gist
"SELECT c.name as category, CASE WHEN p.stock_quantity = 0 THEN 'Out of Stock' WHEN p.stock_quantity <= 10 THEN 'Critical' WHEN p.stock_quantity <= 50 THEN 'Low' WHEN p.stock_quantity <= 100 THEN 'Medium' ELSE 'High' END as stock_level, COUNT(*) as product_count, SUM(p.stock_quantity) as total_stock FROM products p JOIN categories c ON p.category_id = c.category_id GROUP BY c.name, stock_level ORDER BY c.name, stock_level;",1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,bitmap
"SELECT order_id, order_date, status FROM Orders WHERE order_id BETWEEN 5000 AND 5100;",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,btree
"SELECT product_id, name, price FROM Products WHERE price BETWEEN 50 AND 150 ORDER BY price;",1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,gist
"SELECT order_id, user_id, order_date, total_amount FROM Orders WHERE order_date BETWEEN '2024-01-01' AND '2024-03-31' ORDER BY order_date DESC;",1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,gist
"SELECT DISTINCT p1.name as product1, p2.name as product2, p1.price as price1, p2.price as price2, similarity(p1.name, p2.name) as name_similarity FROM products p1 JOIN products p2 ON p1.category_id = p2.category_id AND p1.product_id < p2.product_id WHERE similarity(p1.name, p2.name) > 0.4 ORDER BY name_similarity DESC;",1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,reverse
"SELECT p1.product_id, p1.name, p1.description FROM products p1, products p2 WHERE p1.product_id != p2.product_id AND similarity(p1.name, p2.name) > 0.3 ORDER BY similarity(p1.name, p2.name) DESC;",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,reverse
"SELECT p.product_id, p.name, o.order_date, u.email as customer_email, oi.quantity, oi.price as sold_price FROM products p JOIN orderitems oi ON p.product_id = oi.product_id JOIN orders o ON oi.order_id = o.order_id JOIN users u ON o.user_id = u.user_id WHERE p.product_id = 123;",1,0,0,0,0,0,0,3,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,hash
"SELECT CASE WHEN stock_quantity = 0 THEN 'Out of Stock' WHEN stock_quantity < 10 THEN 'Low Stock' WHEN stock_quantity < 50 THEN 'Medium Stock' ELSE 'Well Stocked' END as stock_status, COUNT(*) as product_count FROM products GROUP BY stock_status;",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,hash
"SELECT order_id, user_id, order_date, status FROM Orders WHERE order_date = '2024-03-15';",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,gist
"select * from (SELECT product_id, name, description FROM Products WHERE 'heavy' % name) pind;",2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,gist
"SELECT u.user_id, u.email, o.order_id, o.order_date, o.total_amount FROM users u JOIN orders o ON u.user_id = o.user_id WHERE u.user_id = 789 ORDER BY o.order_date DESC LIMIT 1;",1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,btree
"SELECT u.user_id, u.email, u.first_name, u.last_name, u.phone_number FROM users u WHERE u.email = 'customer@example.com';",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,bitmap
"SELECT u.user_id, u.first_name, u.last_name, u.email, o.order_id, o.order_date, o.total_amount, o.status FROM Users u JOIN Orders o ON u.user_id = o.user_id WHERE u.user_id = 5001 ORDER BY o.order_date DESC;",1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,btree
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"select p.name, count(*) as order_count from products p join orderitems oi on p.product_id = oi.product_id group by p.name order by order_count desc limit 10",1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,hash
"select p.name, c.name as category_name, count(oi.order_item_id) as total_orders from products as p join categories as c on p.category_id = c.category_id left join orderitems as oi on p.product_id = oi.product_id group by p.name, category_name order by total_orders desc",1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,2,5,1,1,0,0,0,hash
"select oi.order_item_id, oi.quantity, oi.price from orderitems oi join orders o on oi.order_id = o.order_id where o.order_id = 12345",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,hash
"select oi.order_item_id, oi.quantity, p.name as product_name, p.price from orderitems oi join products p on oi.product_id = p.product_id where oi.product_id in (1, 10, 100, 1000, 10000)",1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,hash
"select oi.order_item_id, p.name, p.price from orderitems oi join products p on oi.product_id = p.product_id where oi.product_id in (1, 10, 100, 1000, 10000)",1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,hash
"select oi.order_item_id, p.name, p.price from orderitems oi join products p on oi.product_id = p.product_id where oi.order_id = 12345",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,hash
"select oi.order_item_id, oi.quantity, p.name, p.price from orderitems oi join products p on oi.product_id = p.product_id where oi.product_id = 1234",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,hash
"select oi.order_item_id, oi.quantity, p.name, p.price from orderitems oi join products p on oi.product_id = p.product_id where oi.order_id = 12345",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,hash
"select oi.order_item_id, oi.quantity, p.name as product_name, p.price from orderitems oi join products p on oi.product_id = p.product_id where oi.order_id in (select order_id from orders where user_id = 1234)",2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,hash
"select oi.quantity, p.price from orderitems oi join products p on oi.product_id = p.product_id where oi.order_id = 12345",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,hash
"select oi.order_item_id, oi.quantity, p.name, p.price from orderitems oi join products p on oi.product_id = p.product_id where oi.product_id in (10, 20, 30, 40, 50,60,70,80,90,100)",1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,hash
"select oi.order_item_id, oi.quantity, p.name, p.price from orderitems oi join products p on oi.product_id = p.product_id where oi.product_id = 123",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,hash
"select oi.order_item_id, oi.quantity, p.name, p.price from orderitems oi join products p on oi.product_id = p.product_id where oi.product_id in (select product_id from products where category_id = 10)",2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,hash
"select oi.order_item_id, oi.quantity, oi.price from orderitems oi where oi.order_id in (select o.order_id from orders o where o.user_id = 12345)",2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,hash
"select oi.order_item_id, oi.quantity, oi.price, p.name as product_name from orderitems oi join products p on oi.product_id = p.product_id where oi.order_id = 12345",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,hash
"select oi.order_item_id, oi.quantity, p.name, p.price from orderitems oi join products p on oi.product_id = p.product_id where oi.product_id in (1, 10, 100, 1000, 10000)",1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,hash
"select oi.order_item_id, p.name as product_name, oi.quantity, oi.price from orderitems oi inner join products p on oi.product_id = p.product_id where oi.order_id = 12345",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,hash
"select oi.order_item_id, p.name as product_name, oi.quantity, oi.price from orderitems oi join products p on oi.product_id = p.product_id where oi.product_id in (100, 200, 300, 400, 500)",1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,hash
"select oi.order_item_id, oi.quantity, p.name as product_name, p.price from orderitems oi join products p on oi.product_id = p.product_id where oi.product_id in (select product_id from products where category_id = 123)",2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,hash
"select oi.order_item_id, oi.quantity, oi.price from orderitems oi where oi.order_id in (select o.order_id from orders o where o.user_id = 1234)",2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,hash
"select oi.order_item_id, oi.quantity, p.name as product_name, p.price from orderitems oi join products p on oi.product_id = p.product_id where oi.product_id in (10, 25, 50, 100, 150, 200, 250, 300, 350, 400)",1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,hash
